G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak
,,,,,,,,,,,,,
1,Wed Oct 25 2023,9:00p,,Box Score,,Sacramento Kings,L,,114,130,0,1,L 1
2,Fri Oct 27 2023,9:30p,,Box Score,,Los Angeles Clippers,W,,120,118,1,1,W 1
3,Sat Oct 28 2023,10:00p,,Box Score,@,Phoenix Suns,L,,104,126,1,2,L 1
4,Mon Oct 30 2023,9:00p,,Box Score,@,Denver Nuggets,L,,102,110,1,3,L 2
5,Wed Nov 1 2023,9:00p,,Box Score,,Memphis Grizzlies,W,,133,109,2,3,W 1
6,Thu Nov 2 2023,9:00p,,Box Score,,Orlando Magic,L,,113,115,2,4,L 1
7,Sat Nov 4 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,95,123,2,5,L 2
8,Mon Nov 6 2023,8:00p,,Box Score,@,Chicago Bulls,L,,113,130,2,6,L 3
9,Wed Nov 8 2023,7:00p,,Box Score,@,Indiana Pacers,L,,118,134,2,7,L 4
10,Fri Nov 10 2023,8:00p,,Box Score,@,Memphis Grizzlies,W,,127,121,3,7,W 1
11,Tue Nov 14 2023,9:00p,,Box Score,,Portland Trail Blazers,W,,115,99,4,7,W 2
12,Fri Nov 17 2023,10:00p,,Box Score,,Phoenix Suns,L,,128,131,4,8,L 1
13,Sun Nov 19 2023,8:00p,,Box Score,,Phoenix Suns,L,2OT,137,140,4,9,L 2
14,Tue Nov 21 2023,10:00p,,Box Score,@,Los Angeles Lakers,L,,99,131,4,10,L 3
15,Wed Nov 22 2023,10:00p,,Box Score,@,Portland Trail Blazers,L,,105,121,4,11,L 4
16,Sat Nov 25 2023,9:30p,,Box Score,,New Orleans Pelicans,W,,105,100,5,11,W 1
17,Mon Nov 27 2023,9:00p,,Box Score,,New Orleans Pelicans,W,,114,112,6,11,W 2
18,Wed Nov 29 2023,8:00p,,Box Score,@,Memphis Grizzlies,L,,91,105,6,12,L 1
19,Thu Nov 30 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,90,101,6,13,L 2
20,Sat Dec 2 2023,9:30p,,Box Score,,Portland Trail Blazers,W,OT,118,113,7,13,W 1
21,Wed Dec 6 2023,8:30p,,Box Score,@,Dallas Mavericks,L,,97,147,7,14,L 1
22,Fri Dec 8 2023,10:00p,,Box Score,,Los Angeles Clippers,L,,103,117,7,15,L 2
23,Mon Dec 11 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,120,134,7,16,L 3
24,Wed Dec 13 2023,9:00p,,Box Score,,New York Knicks,W,,117,113,8,16,W 1
25,Thu Dec 14 2023,10:00p,,Box Score,@,Portland Trail Blazers,W,,122,114,9,16,W 2
26,Sat Dec 16 2023,10:00p,,Box Score,@,Sacramento Kings,L,,104,125,9,17,L 1
27,Mon Dec 18 2023,9:00p,,Box Score,,Brooklyn Nets,W,,125,108,10,17,W 1
28,Wed Dec 20 2023,7:00p,,Box Score,@,Cleveland Cavaliers,L,,116,124,10,18,L 1
29,Thu Dec 21 2023,7:00p,,Box Score,@,Detroit Pistons,W,,119,111,11,18,W 1
30,Sat Dec 23 2023,7:30p,,Box Score,@,Toronto Raptors,W,,126,119,12,18,W 2
31,Tue Dec 26 2023,8:00p,,Box Score,@,San Antonio Spurs,W,,130,118,13,18,W 3
32,Thu Dec 28 2023,8:00p,,Box Score,@,New Orleans Pelicans,L,,105,112,13,19,L 1
33,Sat Dec 30 2023,5:00p,,Box Score,,Miami Heat,W,,117,109,14,19,W 1
34,Mon Jan 1 2024,9:00p,,Box Score,,Dallas Mavericks,W,,127,90,15,19,W 2
35,Wed Jan 3 2024,9:00p,,Box Score,,Detroit Pistons,W,OT,154,148,16,19,W 3
36,Fri Jan 5 2024,7:00p,,Box Score,@,Boston Celtics,L,,97,126,16,20,L 1
37,Sat Jan 6 2024,7:30p,,Box Score,@,Philadelphia 76ers,W,,120,109,17,20,W 1
38,Mon Jan 8 2024,8:00p,,Box Score,@,Milwaukee Bucks,W,,132,116,18,20,W 2
39,Wed Jan 10 2024,10:00p,,Box Score,,Denver Nuggets,W,,124,111,19,20,W 3
40,Fri Jan 12 2024,9:30p,,Box Score,,Toronto Raptors,W,,145,113,20,20,W 4
41,Sat Jan 13 2024,9:30p,,Box Score,,Los Angeles Lakers,W,,132,125,21,20,W 5
42,Mon Jan 15 2024,9:00p,,Box Score,,Indiana Pacers,W,,132,105,22,20,W 6
43,Thu Jan 18 2024,9:00p,,Box Score,,Oklahoma City Thunder,L,,129,134,22,21,L 1
44,Sat Jan 20 2024,8:00p,,Box Score,@,Houston Rockets,L,OT,126,127,22,22,L 2
45,Tue Jan 23 2024,8:00p,,Box Score,@,New Orleans Pelicans,L,,124,153,22,23,L 3
46,Thu Jan 25 2024,7:00p,,Box Score,@,Washington Wizards,W,,123,108,23,23,W 1
47,Sat Jan 27 2024,7:00p,,Box Score,@,Charlotte Hornets,W,,134,122,24,23,W 2
48,Mon Jan 29 2024,7:30p,,Box Score,@,Brooklyn Nets,L,,114,147,24,24,L 1
49,Tue Jan 30 2024,7:30p,,Box Score,@,New York Knicks,L,,103,118,24,25,L 2
50,Thu Feb 1 2024,10:00p,,Box Score,,Philadelphia 76ers,L,,124,127,24,26,L 3
51,Sun Feb 4 2024,8:00p,,Box Score,,Milwaukee Bucks,W,,123,108,25,26,W 1
52,Tue Feb 6 2024,9:00p,,Box Score,,Oklahoma City Thunder,W,,124,117,26,26,W 2
53,Thu Feb 8 2024,9:00p,,Box Score,@,Phoenix Suns,L,,115,129,26,27,L 1
54,Mon Feb 12 2024,9:00p,,Box Score,,Golden State Warriors,L,,107,129,26,28,L 2
55,Wed Feb 14 2024,9:00p,,Box Score,,Los Angeles Lakers,L,,122,138,26,29,L 3
56,Thu Feb 15 2024,9:00p,,Box Score,,Golden State Warriors,L,,137,140,26,30,L 4
57,Thu Feb 22 2024,9:00p,,Box Score,,Charlotte Hornets,L,,107,115,26,31,L 5
58,Sun Feb 25 2024,8:00p,,Box Score,,San Antonio Spurs,W,,128,109,27,31,W 1
59,Tue Feb 27 2024,7:30p,,Box Score,@,Atlanta Hawks,L,,97,124,27,32,L 1
60,Thu Feb 29 2024,7:00p,,Box Score,@,Orlando Magic,L,,107,115,27,33,L 2
